Clase de sitio,Nueva clase,Subclase
VIAS PUBLICAS,VIAS PUBLICAS,"Calles, callejones, andenes."
SENDERO PEATONAL,VIAS PUBLICAS,"Calles, callejones, andenes."
ESTACION DE ARTICULADO,ESTACION TRANSPORTE PUBLICO,
CLINICAS Y SIMILARES,INSTITUTOS DE SALUD,
CARRETERA,VIAS PUBLICAS,"Calles, callejones, andenes."
VEHICULO TAXI,VIAS PUBLICAS,
LOTE BALDIO,LOTE BALDIO,
RESTAURANTES,LOCAL ALIMENTOS,
BUS MASIVO INTEGRAL DE OCCIDENTE M.I.O.,VIAS PUBLICAS,
ALMACENES,LOCAL COMERCIAL,
CASINOS,LOCAL SERVICIO ENTRETENIMIENTO,
OTRO,OTRO,
TRANSPORTE PUBLICO URBANO,VIAS PUBLICAS,
BUS MEGABUS,VIAS PUBLICAS,
FRENTE A RESIDENCIAS - VIA PUBLICA,VIAS PUBLICAS,"Calles, callejones, andenes."
CASAS DE HABITACION,VIVIENDAS,
BUS TRANSMETRO,VIAS PUBLICAS,
TALLERES MECANICA,LOCAL SERVICIO AUTOMOTRIZ,
ALIMENTADOR BUS MEGABUS,VIAS PUBLICAS,
BODEGAS Y SIMILARES,SECTOR INDUSTRIA,
PANADERIAS,LOCAL COMERCIAL,
CALLEJÓN,VIAS PUBLICAS,"Calles, callejones, andenes."
PUENTE,VIAS PUBLICAS,"Calles, callejones, andenes."
ESTABLECIMIENTO DE SALUD,INSTITUTOS DE SALUD,
INTERIOR VEHICULO SERVICIO PUBLICO,VIAS PUBLICAS,
TRAMO DE VIA,VIAS PUBLICAS,"Calles, callejones, andenes."
COMPRAVENTA,LOCAL COMERCIAL,
SECTOR COMERCIO,LOCAL COMERCIAL,
FRENTE CONJUNTO - VIA PUBLICA,VIAS PUBLICAS,"Calles, callejones, andenes."
SOBRE ANDEN - VIA PUBLICA,VIAS PUBLICAS,"Calles, callejones, andenes."
LUGAR DE TRABAJO,EMPRESA,
FRENTE CLINICA U HOSPITAL - VIA PUBLICA,VIAS PUBLICAS,"Calles, callejones, andenes."
SEMÁFORO,VIAS PUBLICAS,"Calles, callejones, andenes."
TRANSPORTE INTERMUNICIPAL,VIAS PUBLICAS,
PARQUEADERO,LOCAL SERVICIO AUTOMOTRIZ,
VEHICULO,VIAS PUBLICAS,
DENTRO DE LA VIVIENDA,VIVIENDAS,
TIENDA,LOCAL COMERCIAL,
RODANDO SOBRE VIA - VIA PUBLICA,VIAS PUBLICAS,
FRENTE A ALMACEN - VIA PUBLICA,VIAS PUBLICAS,"Calles, callejones, andenes."
BUS METROLINEA,VIAS PUBLICAS,
LOCAL COMERCIAL,LOCAL COMERCIAL,
ESTABLECIMIENTO PUBLICO,ENTIDAD PUBLICA,
OFICINAS,EMPRESA,
SUPERMERCADOS,LOCAL COMERCIAL,
PARADERO DE BUSES,VIAS PUBLICAS,
BOSQUES,LOTE BALDIO,
CANALIZACION,OTRO,
INTERIOR VEHICULO PARTICULAR,VIAS PUBLICAS,
UNIVERSIDADES,CENTRO EDUCATIVO,
ESTABLECIMIENTO EDUCATIVO,CENTRO EDUCATIVO,
ESTABLECIMIENTO DE COMERCIO,LOCAL COMERCIAL,
APARTAMENTO EN CONJUNTO CERRADO,VIVIENDAS,
PARQUES,CENTRO DEPORTIVO Y RECREACIONAL,
CONJUNTO RESIDENCIAL,VIVIENDAS,
ALIMENTADOR BUS TRANSMETRO,VIAS PUBLICAS,
FUNERARIA,SERVICIO FUNERARIO,
CENTRO COMERCIAL,LOCAL COMERCIAL,
FRENTE A EDIFICIO - VIA PUBLICA,VIAS PUBLICAS,"Calles, callejones, andenes."
"DROGUERIAS, FARMACIAS",INSTITUTOS DE SALUD,
APARTAMENTO,VIVIENDAS,
FRENTE IGLESIA - VIA PUBLICA,VIAS PUBLICAS,"Calles, callejones, andenes."
"COLEGIOS, ESCUELAS",CENTRO EDUCATIVO,
ALOJAMIENTO,LOCAL SERVICIO HOSPEDAJE,
CAJERO AUTOMATICO,LOCAL FINANCIERO,
CONSTRUCCION,CONSTRUCCION,
